Title,Worldwide Earnings,Domestic Earnings,Domestic Percent Earnings,Foreign Earnings,Foreign Percent Earnings,Year
The Ladies Man,13743212,13616610,99.1,126602,0.9,2000
Solarmax,13400161,13400161,100.0,0,0.0,2000
The Crew,13105853,13023075,99.4,82778,0.6,2000
The Way of the Gun,13069740,6055661,46.3,7014079,53.7,2000
In the Mood for Love,12854953,2738980,21.3,10115973,78.7,2000
Gossip,12591270,5108820,40.6,7482450,59.4,2000
Ready to Rumble,12452362,12394327,99.5,58035,0.5,2000
Drunken Master II,11555430,11555430,100.0,0,0.0,2000
You Can Count on Me,11242521,9416804,83.8,1825717,16.2,2000
Shadow of the Vampire,11155214,8293784,74.3,2861430,25.7,2000
Lucky Numbers,10890222,10042516,92.2,847706,7.8,2000
Here on Earth,10873148,10522168,96.8,350980,3.2,2000
Pollock,10558970,8598593,81.4,1960377,18.6,2000
Anatomy,10501958,9660,0.1,10492298,99.9,2000
The Virgin Suicides,10409377,4906229,47.1,5503148,52.9,2000
Woman on Top,10194274,5020111,49.2,5174163,50.8,2000
Godzilla 2000,10037390,10037390,100.0,0,0.0,2000
Whatever It Takes,9902115,8745680,88.3,1156435,11.7,2000
3 Strikes,9832166,9832166,100.0,0,0.0,2000
Bread and Tulips,9719848,5318679,54.7,4401169,45.3,2000
Ghost Dog: The Way of the Samurai,9380473,3308029,35.3,6072444,64.7,2000
State and Main,9206279,6944471,75.4,2261808,24.6,2000
Before Night Falls,8527517,4242892,49.8,4284625,50.2,2000
Butterfly,7733894,2092682,27.1,5641212,72.9,2000
Ants in the Pants,7625967,0,0.0,7625967,100.0,2000
Requiem for a Dream,7390108,3635482,49.2,3754626,50.8,2000
Where the Money Is,7243669,5661798,78.2,1581871,21.8,2000
Screwed,7201701,7027345,97.6,174356,2.4,2000
Widow of St. Pierre,7193889,3193889,44.4,4000000,55.6,2000
Croupier,7075068,6201143,87.6,873925,12.4,2000
Duets,6620242,4739023,71.6,1881219,28.4,2000
Now or Never,5995963,0,0.0,5995963,100.0,2000
Black & White,5541431,5277299,95.2,264132,4.8,2000
The in Crowd,5280035,5280035,100.0,0,0.0,2000
The House of Mirth,5164404,3043284,58.9,2121120,41.1,2000
Otto 0 Der Katastrofenfilm,5058355,0,0.0,5058355,100.0,2000
Whipped,4775009,4159986,87.1,615023,12.9,2000
Held Up,4705631,4705631,100.0,0,0.0,2000
The Jungle Book 2000 Re0release,4466472,0,0.0,4466472,100.0,2000
The Tao of Steve,4406030,4342203,98.6,63827,1.4,2000
Mohabbatein,4279351,1070000,25.0,3209351,75.0,2000
East Is East,4177818,4177818,100.0,0,0.0,2000
Bossa Nova,4069261,1823297,44.8,2245964,55.2,2000
Erkan & Stefan,4026949,0,0.0,4026949,100.0,2000
Pettson & Findus 0 Katten och gubbens år,3920489,0,0.0,3920489,100.0,2000
Up at the Villa,3740113,2933161,78.4,806952,21.6,2000
The Big Kahuna,3728888,3165544,84.9,563344,15.1,2000
Price of Glory,3548556,3440228,96.9,108328,3.1,2000
Gun Shy,3221280,1638202,50.9,1583078,49.1,2000
Beautiful,3169930,3157348,99.6,12582,0.4,2000
Isn't She Great,3003296,2962465,98.6,40831,1.4,2000
No More School,2870533,0,0.0,2870533,100.0,2000
Flickering Lights,2760019,0,0.0,2760019,100.0,2000
The Color of Paradise,2724595,1817216,66.7,907379,33.3,2000
God's Army,2637726,2637726,100.0,0,0.0,2000
But I'm a Cheerleader,2595216,2205627,85.0,389589,15.0,2000
Bamboozled,2463650,2274979,92.3,188671,7.7,2000
East/West,2321029,2321029,100.0,0,0.0,2000
Shower,2150929,1157764,53.8,993165,46.2,2000
Left Luggage,2111280,1069540,50.7,1041740,49.3,2000
Blood Simple 2000 Re0release,2068701,1701855,82.3,366846,17.7,2000
Marlene,2061924,0,0.0,2061924,100.0,2000
Hamlet,2046433,1577287,77.1,469146,22.9,2000
The Broken Hearts Club: A Romantic Comedy,2019121,1746585,86.5,272536,13.5,2000
Cecil B. Demented,1961544,1284646,65.5,676898,34.5,2000
The Life and Times of Hank Greenberg,1712385,1712385,100.0,0,0.0,2000
The Girl on the Bridge,1708839,1708839,100.0,0,0.0,2000
Harry Potter and the Sorcerer's Stone,974755371,317575550,32.6,657179821,67.4,2001
The Lord of the Rings: The Fellowship of the Ring,868385360,313364114,36.1,555021246,63.9,2001
Monsters Inc.,528773250,255873250,48.4,272900000,51.6,2001
Shrek,484596038,267851831,55.3,216744207,44.7,2001
Ocean's Eleven,450717150,183417150,40.7,267300000,59.3,2001
Pearl Harbor,449220945,198542554,44.2,250678391,55.8,2001
The Mummy Returns,433013274,202019785,46.7,230993489,53.3,2001
Jurassic Park III,368780809,181171875,49.1,187608934,50.9,2001
Planet of the Apes,362211740,180011740,49.7,182200000,50.3,2001
Hannibal,351692268,165092268,46.9,186600000,53.1,2001
Rush Hour 2,347325802,226164286,65.1,121161516,34.9,2001
A Beautiful Mind,313542341,170742341,54.5,142800000,45.5,2001
American Pie 2,287553595,145103595,50.5,142450000,49.5,2001
Bridget Jones's Diary,281929795,71543427,25.4,210386368,74.6,2001
Spirited Away,274925095,10055859,3.7,264869236,96.3,2001
Lara Croft: Tomb Raider,274703340,131168070,47.7,143535270,52.3,2001
A.I. Artificial Intelligence,235926552,78616689,33.3,157309863,66.7,2001
The Others,209947037,96522687,46.0,113424350,54.0,2001
The Fast and the Furious,207283925,144533925,69.7,62750000,30.3,2001
Vanilla Sky,203388341,100618344,49.5,102769997,50.5,2001
Cats & Dogs,200687492,93385515,46.5,107301977,53.5,2001
Atlantis: The Lost Empire,186053725,84056472,45.2,101997253,54.8,2001
Moulin Rouge!,179213434,57386607,32.0,121826827,68.0,2001
Dr. Dolittle 2,176104344,112952899,64.1,63151445,35.9,2001
Amélie,173921954,33225499,19.1,140696455,80.9,2001
Black Hawk Down,172989651,108638745,62.8,64350906,37.2,2001
The Princess Diaries,165335153,108248956,65.5,57086197,34.5,2001
Spy Kids,147934180,112719001,76.2,35215179,23.8,2001
The Mexican,147845033,66845033,45.2,81000000,54.8,2001
Swordfish,147080413,69772969,47.4,77307444,52.6,2001
Spy Game,143049560,62362560,43.6,80687000,56.4,2001
Legally Blonde,141774679,96520674,68.1,45254005,31.9,2001
Scary Movie 2,141220678,71308997,50.5,69911681,49.5,2001
Shallow Hal,141069860,70839203,50.2,70230657,49.8,2001
America's Sweethearts,138307673,93607673,67.7,44700000,32.3,2001
Save the Last Dance,131706809,91057006,69.1,40649803,30.9,2001
A Knight's Tale,117487473,56569702,48.1,60917771,51.9,2001
The Score,113579918,71107711,62.6,42472207,37.4,2001
Along Came a Spider,105178561,74078174,70.4,31100387,29.6,2001
Training Day,104876233,76631907,73.1,28244326,26.9,2001
Jimmy Neutron: Boy Genius,102992536,80936232,78.6,22056304,21.4,2001
Don't Say a Word,100020092,55001642,55.0,45018450,45.0,2001
Evolution,98376292,38345494,39.0,60030798,61.0,2001
I Am Sam,97818139,40311852,41.2,57506287,58.8,2001
Enemy at the Gates,96976270,51401758,53.0,45574512,47.0,2001
The Wedding Planner,94728529,60400856,63.8,34327673,36.2,2001
Behind Enemy Lines,91753202,58856790,64.1,32896412,35.9,2001
Gosford Park,87754044,41308615,47.1,46445429,52.9,2001
Ali,87713825,58203105,66.4,29510720,33.6,2001
Rat Race,85498534,56618055,66.2,28880479,33.8,2001
Final Fantasy: The Spirits Within,85131830,32131830,37.7,53000000,62.3,2001
The Animal,84772742,57743062,68.1,27029680,31.9,2001
Blow,83282296,52990775,63.6,30291521,36.4,2001
Exit Wounds,79958599,51758599,64.7,28200000,35.3,2001
Serendipity,77516304,50294317,64.9,27221987,35.1,2001
Kate & Leopold,76019048,47121859,62.0,28897189,38.0,2001
Manitou's Shoe,75482094,0,0.0,75482094,100.0,2001
From Hell,74558115,31602566,42.4,42955549,57.6,2001
The One,72689126,43905746,60.4,28783380,39.6,2001
The Royal Tenenbaums,71441250,52364010,73.3,19077240,26.7,2001
Down to Earth,71186502,64186502,90.2,7000000,9.8,2001
Brotherhood of the Wolf,70752904,11260096,15.9,59492808,84.1,2001
Thir13en Ghosts,68467960,41867960,61.1,26600000,38.9,2001
Pokémon 3 the Movie: Spell of the Unown,68411275,17052128,24.9,51359147,75.1,2001
Bandits,67631903,41575141,61.5,26056762,38.5,2001
Not Another Teen Movie,66468332,38252284,57.5,28216048,42.5,2001
Sweet November,65754228,25288103,38.5,40466125,61.5,2001
K0PAX,65001485,50338485,77.4,14663000,22.6,2001
Kiss of the Dragon,64437847,36845124,57.2,27592723,42.8,2001
Captain Corelli's Mandolin,62112895,25543895,41.1,36569000,58.9,2001
Zoolander,60780981,45172250,74.3,15608731,25.7,2001
The Crimson Rivers,60094966,594966,1.0,59500000,99.0,2001
Jeepers Creepers,59217789,37904175,64.0,21313614,36.0,2001
Heartbreakers,57756408,40336607,69.8,17419801,30.2,2001
15 Minutes,56359980,24403552,43.3,31956428,56.7,2001
Driven,54744738,32720065,59.8,22024673,40.2,2001
Domestic Disturbance,54249294,45246095,83.4,9003199,16.6,2001
The Closet,50104745,6678894,13.3,43425851,86.7,2001
Monster's Ball,44909486,31273922,69.6,13635564,30.4,2001
Recess: School's Out,44460850,36706141,82.6,7754709,17.4,2001
Hardball,44102389,40222729,91.2,3879660,8.8,2001
In the Bedroom,43368779,35930604,82.8,7438175,17.2,2001
See Spot Run,43057552,33357476,77.5,9700076,22.5,2001
Shaolin Soccer,42776760,489600,1.1,42287160,98.9,2001
Black Knight,39976235,33426971,83.6,6549264,16.4,2001
Memento,39723096,25544867,64.3,14178229,35.7,2001
Crocodile Dundee in Los Angeles,39438674,25635682,65.0,13802992,35.0,2001
Haunted Castle,39093166,13651656,34.9,25441510,65.1,2001
Someone Like You,38689940,27343067,70.7,11346873,29.3,2001
What's the Worst That Could Happen?,38464131,32269834,83.9,6194297,16.1,2001
The Majestic,37317558,27807266,74.5,9510292,25.5,2001
Valentine,36684136,20384136,55.6,16300000,44.4,2001
Joy Ride,36642838,21974919,60.0,14667919,40.0,2001
Riding in Cars with Boys,35743308,30165536,84.4,5577772,15.6,2001
Original Sin,35402320,16534221,46.7,18868099,53.3,2001
Jay and Silent Bob Strike Back,33788161,30085147,89.0,3703014,11.0,2001
And Your Mother Too,33616692,13839658,41.2,19777034,58.8,2001
The Musketeer,32533802,27073640,83.2,5460162,16.8,2001
Double Take,31603059,29831583,94.4,1771476,5.6,2001
How High,31283740,31178740,99.7,105000,0.3,2001
Beauty and the Beast 2000 IMAX Release,31033346,25487190,82.1,5546156,17.9,2001
Joe Dirt,30987695,27087695,87.4,3900000,12.6,2001
Hearts in Atlantis,30919415,24185781,78.2,6733634,21.8,2001
Monsoon Wedding,30787356,13885966,45.1,16901390,54.9,2001
Angel Eyes,29715606,24174218,81.4,5541388,18.6,2001
The Pledge,29419291,19733089,67.1,9686202,32.9,2001
Baby Boy,29381649,28734552,97.8,647097,2.2,2001
Heist,28510652,23510841,82.5,4999811,17.5,2001
The Tailor of Panama,28008462,13729742,49.0,14278720,51.0,2001
The Brothers,27958191,27457409,98.2,500782,1.8,2001
The Last Castle,27642707,18244060,66.0,9398647,34.0,2001
Saving Silverman,26086706,19402030,74.4,6684676,25.6,2001
Corky Romano,25272752,23980304,94.9,1292448,5.1,2001
The Shipping News,24690441,11434216,46.3,13256225,53.7,2001
Joe Somebody,24516772,22771646,92.9,1745126,7.1,2001
Nowhere in Africa,24322180,6180200,25.4,18141980,74.6,2001
Tanguy,24272365,0,0.0,24272365,100.0,2001
Life as a House,23903791,15667270,65.5,8236521,34.5,2001
The Glass House,23619609,18150259,76.8,5469350,23.2,2001
Tomcats,23430766,13558739,57.9,9872027,42.1,2001
Kingdom Come,23396049,23249649,99.4,146400,0.6,2001
Two Can Play That Game,22391450,22235901,99.3,155549,0.7,2001
Winged Migration,21493351,924651,4.3,20568700,95.7,2001
Amores Perros,20908467,5408467,25.9,15500000,74.1,2001
Mulholland Drive,20117339,7220243,35.9,12897096,64.1,2001
Himalaya 2001 Re0release,19960881,2487878,12.5,17473003,87.5,2001
Crazy/Beautiful,19937988,16937988,85.0,3000000,15.0,2001
Get Over It,19900366,11576464,58.2,8323902,41.8,2001
Summer Catch,19772447,19753553,99.9,18894,0.1,2001
Shackleton's Antarctic Adventure,19613216,15553324,79.3,4059892,20.7,2001
Rock Star,19334145,17008282,88.0,2325863,12.0,2001
O,19260537,16025437,83.2,3235100,16.8,2001
The Man Who Wasn't There,18916623,7504257,39.7,11412366,60.3,2001
The Curse of the Jade Scorpion,18914307,7517191,39.7,11397116,60.3,2001
3000 Miles to Graceland,18720175,15749959,84.1,2970216,15.9,2001
Max Keeble's Big Move,18634654,17294293,92.8,1340361,7.2,2001
Godzilla Mothra and King Ghidorah: Giant Monsters All0Out Attack,18623382,0,0.0,18623382,100.0,2001
Antitrust,18195610,11328094,62.3,6867516,37.7,2001
Jason X,16951798,13121555,77.4,3830243,22.6,2001
Sugar & Spice,16908947,13305101,78.7,3603846,21.3,2001
Just Visiting,16176732,4781539,29.6,11395193,70.4,2001
Iris,16153953,5594617,34.6,10559336,65.4,2001
Lantana,15747450,4623189,29.4,11124261,70.6,2001
Enigma 2001 Re0release,15705007,4301582,27.4,11403425,72.6,2001
With a Friend Like Harry...,15472186,3830441,24.8,11641745,75.2,2001
Brother,15250594,450594,3.0,14800000,97.0,2001
Josie and the Pussycats,14866015,14271015,96.0,595000,4.0,2001
Out Cold,14782676,13906394,94.1,876282,5.9,2001
Iron Monkey,14694904,14694904,100.0,0,0.0,2001
Together,14572229,1034829,7.1,13537400,92.9,2001
Freddy Got Fingered,14333252,14254993,99.5,78259,0.5,2001
Osmosis Jones,14026418,13596911,96.9,429507,3.1,2001
Ghosts of Mars,14010832,8709640,62.2,5301192,37.8,2001
American Outlaws,13678913,13342790,97.5,336123,2.5,2001
One Night at McCool's,13473370,6290673,46.7,7182697,53.3,2001
Vidocq,13240767,0,0.0,13240767,100.0,2001
Head Over Heels,13127022,10424470,79.4,2702552,20.6,2001
Formula 51,12881605,5204007,40.4,7677598,59.6,2001
The Girl from Paris,12812396,183266,1.4,12629130,98.6,2001
Apocalypse Now Redux,12543269,4626290,36.9,7916979,63.1,2001
Say It Isn't So,12320393,5520393,44.8,6800000,55.2,2001
The Son's Room,11767402,1016340,8.6,10751062,91.4,2001
Les rois mages,11702020,0,0.0,11702020,100.0,2001
The Experiment,11455141,0,0.0,11455141,100.0,2001
Kabhi Khushi Kabhie Gham...,11329690,2902000,25.6,8427690,74.4,2001
The Little Polar Bear,11243547,0,0.0,11243547,100.0,2001
Inuyasha the Movie: Affections Touching Across Time,10539779,0,0.0,10539779,100.0,2001
Town & Country,10372291,6719973,64.8,3652318,35.2,2001
Wasabi,10366360,97220,0.9,10269140,99.1,2001
The Wash,10229331,10097538,98.7,131793,1.3,2001
Sexy Beast,10045677,6946056,69.1,3099621,30.9,2001
Girls on Top,10038662,0,0.0,10038662,100.0,2001
The Deep End,10031529,8823109,88.0,1208420,12.0,2001
Mad Love,9306362,280046,3.0,9026316,97.0,2001
Kandahar,8914751,1418314,15.9,7496437,84.1,2001
Son of the Bride,8772695,624757,7.1,8147938,92.9,2001
Ghost World,8764007,6217849,70.9,2546158,29.1,2001
The Forsaken,8704851,7288451,83.7,1416400,16.3,2001
Tini: The New Life of Violetta,8678476,0,0.0,8678476,100.0,2001
The Prince and the Pirate,8579972,0,0.0,8579972,100.0,2001
Bones,8378853,7316658,87.3,1062195,12.7,2001
Merry Christmas,8228560,0,0.0,8228560,100.0,2001
The Hole,7644361,0,0.0,7644361,100.0,2001
Sex and Lucía,7640680,1594779,20.9,6045901,79.1,2001
Monkeybone,7622365,5411999,71.0,2210366,29.0,2001
Mean Machine,7310206,92770,1.3,7217436,98.7,2001
The Slurb,6854681,0,0.0,6854681,100.0,2001
China: The Panda Adventure,6784985,3921642,57.8,2863343,42.2,2001
The Road Home,6780490,1280490,18.9,5500000,81.1,2001
The Piano Teacher,6749315,1012069,15.0,5737246,85.0,2001
Under the Sand,6531687,1452698,22.2,5078989,77.8,2001
The Devil's Backbone,6459020,755249,11.7,5703771,88.3,2001
Megiddo: The Omega Code 2,6047691,6047691,100.0,0,0.0,2001
Chaos,6042938,0,0.0,6042938,100.0,2001
Tom Thumb,5867304,0,0.0,5867304,100.0,2001
The Golden Bowl,5753678,3050532,53.0,2703146,47.0,2001
A Fish Tale,5595327,563911,10.1,5031416,89.9,2001
Made,5480653,5313300,96.9,167353,3.1,2001
Read My Lips,5393526,1471911,27.3,3921615,72.7,2001
Charlotte Gray,5323109,741394,13.9,4581715,86.1,2001
The Lord of the Rings: The Two Towers,923015234,339789881,36.8,583225353,63.2,2002
Harry Potter and the Chamber of Secrets,878979634,261988482,29.8,616991152,70.2,2002
Spider0Man,821708551,403706375,49.1,418002176,50.9,2002
Star Wars: Episode II 0 Attack of the Clones,645256452,302191252,46.8,343065200,53.2,2002
Men in Black II,441818803,190418803,43.1,251400000,56.9,2002
Die Another Day,431971116,160942139,37.3,271028977,62.7,2002
Signs,408247917,227966634,55.8,180281283,44.2,2002
Ice Age,383257136,176387405,46.0,206869731,54.0,2002
My Big Fat Greek Wedding,368744044,241438208,65.5,127305836,34.5,2002
Minority Report,358372926,132072926,36.9,226300000,63.1,2002
Catch Me If You Can,352114312,164615351,46.8,187498961,53.2,2002
Chicago,306776732,170687518,55.6,136089214,44.4,2002
Austin Powers in Goldmember,296938801,213307889,71.8,83630912,28.2,2002
xXx,277448382,142109382,51.2,135339000,48.8,2002
Scooby0Doo,275650703,153294164,55.6,122356539,44.4,2002
Lilo & Stitch,273144151,145794338,53.4,127349813,46.6,2002
The Ring,249348933,129128133,51.8,120220800,48.2,2002
8 Mile,242875078,116750901,48.1,126124177,51.9,2002
The Bourne Identity,214034224,121661683,56.8,92372541,43.2,2002
Red Dragon,209196298,93149898,44.5,116046400,55.5,2002
Two Weeks Notice,199043242,93354851,46.9,105688391,53.1,2002
Panic Room,196397415,96397334,49.1,100000081,50.9,2002
The Sum of All Fears,193921372,118907036,61.3,75014336,38.7,2002
Gangs of New York,193772504,77812000,40.2,115960504,59.8,2002
Road to Perdition,181001478,104454762,57.7,76546716,42.3,2002
Sweet Home Alabama,180622424,127223418,70.4,53399006,29.6,2002
The Scorpion King,178799308,91047077,50.9,87752231,49.1,2002
Hero,177395557,53710019,30.3,123685538,69.7,2002
The Santa Clause 2,172855065,139236327,80.6,33618738,19.4,2002
Mr. Deeds,171269535,126293452,73.7,44976083,26.3,2002
Stuart Little 2,169956806,64956806,38.2,105000000,61.8,2002
Blade II,155010032,82348319,53.1,72661713,46.9,2002
Maid in Manhattan,154906693,94011225,60.7,60895468,39.3,2002
About a Boy,130549455,41385278,31.7,89164177,68.3,2002
Space Station 3D,128363881,93383953,72.7,34979928,27.3,2002
The Time Machine,123729176,56832494,45.9,66896682,54.1,2002
Spirit: Stallion of the Cimarron,122563539,73280117,59.8,49283422,40.2,2002
The Pianist,120072577,32572577,27.1,87500000,72.9,2002
Spy Kids 2: Island of Lost Dreams,119723358,85846429,71.7,33876929,28.3,2002
Unfaithful,119137784,52775765,44.3,66362019,55.7,2002
Snow Dogs,115035090,81172560,70.6,33862530,29.4,2002
We Were Soldiers,114660784,78122718,68.1,36538066,31.9,2002
Insomnia,113714830,67355513,59.2,46359317,40.8,2002
Return to Never Land,109862682,48430258,44.1,61432424,55.9,2002
